YEAR(Integer),DIV1(Double),DIV2(Double),DIV3(Double),DIV4(Double),DIV7(Double),DIV9(Double),X(Double),FEMALECANDIDATES(Double),FEMALEDIV1(Double),FEMALEDIV2(Double)
2011,10,30,20,10,30,0,0,10,2,50
2011,47,29.8,42.6,17,10.6,0,0,0,19,15.8
2011,54,29.6,48.1,16.7,5.6,0,0,0,0,0
2011,233,29.6,37.3,27,6,0,0,0,120,21.7
2011,115,29.6,41.7,16.5,12.2,0,0,0,45,20
2011,105,29.5,42.9,23.8,2.9,0,0,1,37,18.9
2011,85,29.4,44.7,17.6,8.2,0,0,0,28,35.7
2011,103,29.1,37.9,21.4,8.7,1,0,1.9,50,16
2011,86,29.1,40.7,20.9,9.3,0,0,0,49,14.3
2011,117,29.1,35.9,19.7,13.7,0,0,1.7,41,22
2011,76,28.9,43.4,21.1,6.6,0,0,0,38,23.7
2011,28.5,45.1,19.2,7.3,0,0,0,88,21.6,43.2
2011,28.4,46.6,22.4,1.7,0,0,0.9,48,10.4,56.3
2011,148,28.4,47.3,18.2,5.4,0,0,0.7,0,0
2011,28.4,35.8,29.9,4.5,0,0,1.5,47,25.5,36.2
2011,212,28.3,47.2,22.2,1.9,0,0,0.5,78,23.1
2011,28.1,59.8,10.7,1.3,0,0,0,224,28.1,59.8
2011,28.1,52.1,15.2,3.7,0,0,0.9,91,19.8,54.9
2011,27.8,61.1,11.1,0,0,0,0,16,18.8,62.5
2011,27.6,46.1,22.4,2.6,0,0,1.3,39,20.5,48.7
2011,58,27.6,37.9,15.5,19,0,0,0,34,23.5
2011,27.6,37.9,27.6,6.9,0,0,0,0,0,0
2011,27.2,30.1,35,7.8,0,0,0,54,25.9,22.2
2011,27.1,42.7,21.4,6.3,1.6,0,1,103,21.4,44.7
2011,27,29.1,25.5,17.9,0,0,0.5,109,18.3,33
2011,26.8,34,30.9,8.2,0,0,0,63,15.9,31.7
2011,98,26.5,43.9,24.5,3.1,0,0,2,50,20
2011,26.3,52.6,15.8,0,0,0,5.3,19,26.3,52.6
2011,26.3,44.7,18.4,10.5,0,0,0,43,11.6,53.5
2011,26.1,46.7,23.1,3.5,0,0,0.5,100,17,46
2011,23,26.1,34.8,39.1,0,0,0,0,0,0
2011,26,61,13,0,0,0,0,44,18.2,68.2
2011,27,25.9,40.7,7.4,22.2,0,0,3.7,11,18.2
2011,25.9,57.6,15.3,1.2,0,0,0,85,25.9,57.6
2011,25.8,39.4,23.7,10.1,0,0,1,78,15.4,37.2
2011,113,25.7,57.5,15,1.8,0,0,0,32,9.4
2011,125,25.6,44,23.2,5.6,0,0,1.6,56,12.5
2011,43,25.6,51.2,20.9,2.3,0,0,0,0,0
2011,115,25.2,41.7,28.7,3.5,0,0,0.9,71,19.7
2011,25.2,55.5,17.4,1.9,0,0,0,155,25.2,55.5
2011,25.1,56.9,16.1,2,0,0,0,255,25.1,56.9
2011,12,25,41.7,33.3,0,0,0,0,4,25
2011,25,44,21.4,9.5,0,0,0,30,6.7,46.7
2011,40,25,45,22.5,7.5,0,0,0,18,5.6
2011,25,34,27,13,0,0,1,58,12.1,34.5
2011,8,25,75,0,0,0,0,0,5,40
2011,24.6,43.5,24.6,7.2,0,0,0,63,14.3,39.7
2011,212,24.5,42.9,22.2,8.5,0,0,1.9,100,14
2011,33,24.2,33.3,21.2,18.2,0,0,3,18,5.6
2011,24.1,36.1,23.4,15.8,0,0,0.6,67,11.9,32.8
2011,50,24,40,26,8,0,0,2,14,7.1
2011,46,23.9,19.6,32.6,19.6,0,0,4.3,23,13
2011,113,23.9,42.5,21.2,11.5,0,0,0.9,53,17
2011,23.8,28.6,23.8,19,0,0,4.8,6,16.7,16.7
2011,194,23.7,38.7,27.3,8.8,0,0,1.5,193,23.8
2011,23.6,41.3,24,10.1,0.5,0,0.5,111,21.6,40.5
2011,47,23.4,36.2,25.5,14.9,0,0,0,25,12
2011,23.3,37,27.4,12.3,0,0,0,44,15.9,34.1
2011,23.3,44.8,23.3,8.6,0,0,0,54,20.4,42.6
2011,23.1,56,17.6,2.7,0,0,0.5,182,23.1,56
2011,23.1,46.2,23.1,6.7,0,0,1,53,18.9,45.3
2011,23,36.4,25.4,13.4,0,0,1.8,205,16.1,26.8
2011,23,34.7,27.4,14.1,0,0,0.8,115,13.9,32.2
2011,22.9,47.4,23.3,5.6,0,0,0.8,129,15.5,47.3
2011,22.9,26.3,28.8,19.5,0,0,2.5,55,7.3,25.5
2011,35,22.9,45.7,28.6,2.9,0,0,0,22,13.6
2011,79,22.8,51.9,22.8,2.5,0,0,0,79,22.8
2011,75,22.7,49.3,22.7,5.3,0,0,0,36,13.9
2011,22.4,37.1,26.7,12.1,0.9,0,0.9,58,13.8,41.4
2011,94,22.3,64.9,10.6,1.1,0,0,1.1,0,0
2011,22.3,36.4,22.3,18,0,0,1,71,14.1,43.7
2011,22.2,33.3,30.6,13.9,0,0,0,42,11.9,38.1
2011,22.2,44.4,29.6,1.9,0,0,1.9,63,14.3,50.8
2011,22.2,38.4,27.3,12.1,0,0,0,40,7.5,27.5
2011,21.9,43,27.3,7.9,0,0,0,78,11.5,39.7
2011,21.8,42.9,27.6,7.1,0.6,0,0,50,12,42
2011,21.6,31.2,28,18.4,0,0,0.8,54,13,33.3
2011,21.3,44.4,27.8,5.6,0,0,0.9,67,11.9,43.3
2011,99,21.2,50.5,28.3,0,0,0,0,50,14
2011,118,21.2,35.6,23.7,18.6,0,0,0.8,67,13.4
2011,21.2,37.6,24.7,15.3,0,0,1.2,84,21.4,36.9
2011,109,21.1,40.4,33,5.5,0,0,0,62,17.7
2011,21,33.9,27.4,11.3,0,1.6,4.8,30,10,23.3
2011,20.9,34.9,18.6,23.3,2.3,0,0,22,18.2,45.5
2011,20.9,45.7,23.3,6.2,0,0.8,3.1,39,12.8,38.5
2011,20.9,31.3,25.4,14.9,0,0,7.5,33,9.1,30.3
2011,20.8,19.5,26,31.2,0,0,2.6,33,6.1,21.2
2011,20.6,45.1,25.7,4,0,0,4.6,72,12.5,37.5
2011,180,20.6,38.9,28.3,11.1,0,0,1.1,87,14.9
2011,73,20.5,52.1,23.3,4.1,0,0,0,40,15
2011,20.5,35.9,41,0,0,0,2.6,16,18.8,25
2011,20.5,27.6,35.4,15.7,0,0.8,0,65,10.8,30.8
2011,44,20.5,52.3,11.4,15.9,0,0,0,22,4.5
2011,49,20.4,30.6,26.5,18.4,0,0,4.1,22,27.3
2011,20.3,38.1,29.7,11,0,0,0.8,65,9.2,46.2
2011,20.2,34.3,30.3,14.1,0,1,0,51,9.8,35.3
2011,30,20,36.7,20,23.3,0,0,0,14,7.1
2011,30,20,50,30,0,0,0,0,30,20
2011,65,20,47.7,29.2,3.1,0,0,0,65,20
2011,35,20,22.9,28.6,22.9,0,0,5.7,20,10
2011,19.8,35.1,29,13.7,0,0,2.3,131,19.8,35.1
2011,19.7,31,26.8,21.8,0,0,0.7,70,17.1,28.6
2011,19.7,29.1,27.6,23.6,0,0,0,75,13.3,25.3
2011,117,19.7,33.3,32.5,14.5,0,0,0,51,9.8
2011,168,19.6,62.5,15.5,1.2,0.6,0,0.6,66,12.1
2011,189,19.6,45,25.4,9.5,0,0,0.5,62,9.7
2011,113,19.5,51.3,22.1,7.1,0,0,0,55,20
2011,108,19.4,32.4,28.7,16.7,1.9,0,0.9,60,15
2011,19.4,27.8,19.4,30.6,0,1.4,1.4,37,8.1,24.3
2011,19.4,56.9,22.2,0,0,0,1.4,72,19.4,56.9
2011,139,19.4,41.7,20.1,17.3,0,0,1.4,80,15
2011,93,19.4,24.7,32.3,21.5,0,0,2.2,52,11.5
2011,57,19.3,49.1,26.3,5.3,0,0,0,21,9.5
2011,19.3,33.9,26.4,18.5,0,0.8,1.2,128,11.7,31.3
2011,120,19.2,42.5,34.2,3.3,0,0,0.8,63,6.3
2011,47,19.1,23.4,38.3,17,0,0,2.1,28,14.3
2011,141,19.1,52.5,22,6.4,0,0,0,63,15.9
2011,19.1,32.6,37.1,9,0,1.1,1.1,0,0,0
2011,19,37.1,23.8,19,0,0,1,41,7.3,39
2011,142,19,32.4,26.1,21.1,0,0,1.4,63,11.1
2011,19,34,28.5,18.5,0,0,0,91,14.3,26.4
2011,95,18.9,40,20,17.9,0,0,3.2,47,19.1
2011,159,18.9,33.3,33.3,11.3,0,0,3.1,91,11
2011,18.8,50,31.3,0,0,0,0,0,0,0
2011,59,18.6,28.8,35.6,13.6,0,1.7,1.7,28,21.4
2011,18.6,32.2,33.9,11.9,0,1.7,1.7,59,18.6,32.2
2011,199,18.6,50.8,27.6,2.5,0,0,0.5,199,18.6
2011,18.5,39,30,12,0,0.3,0.3,114,6.1,39.5
2011,54,18.5,31.5,35.2,14.8,0,0,0,26,0
2011,114,18.4,28.1,26.3,26.3,0,0,0.9,58,6.9
2011,18.4,52.9,19.5,6.9,0,0,2.3,38,13.2,60.5
2011,71,18.3,47.9,23.9,7,0,0,2.8,42,14.3
2011,126,18.3,27.8,31.7,20.6,0,0,1.6,72,13.9
2011,252,18.3,46.4,26.2,8.7,0,0,0.4,111,8.1
2011,18.2,38.4,28.5,14,0,0.4,0.4,72,4.2,37.5
2011,44,18.2,34.1,40.9,6.8,0,0,0,21,0
2011,18.1,38.5,33.1,10.4,0,0,0,107,9.3,35.5
2011,17.9,41,29.5,9,0,0,2.6,78,17.9,41
2011,123,17.9,35,19.5,26.8,0,0.8,0,43,11.6
2011,17.9,42.9,32.1,7.1,0,0,0,15,6.7,26.7
2011,17.8,51.7,22.9,7.6,0,0,0,118,17.8,51.7
2011,90,17.8,17.8,40,22.2,0,0,2.2,62,14.5
2011,175,17.7,30.9,30.9,18.3,0.6,0,1.7,91,13.2
2011,119,17.6,31.1,30.3,19.3,0,0.8,0.8,59,6.8
2011,17.6,47.1,24.8,8.5,0,0,2,65,13.8,43.1
2011,132,17.4,27.3,25,28,0.8,0.8,0.8,59,13.6
2011,52,17.3,36.5,26.9,19.2,0,0,0,52,17.3
2011,17.3,29.8,28.8,22,0,0,2.1,109,7.3,22.9
2011,35,17.1,40,31.4,11.4,0,0,0,15,6.7
2011,158,17.1,32.9,31.6,16.5,0,0.6,1.3,85,14.1
2011,71,16.9,45.1,32.4,4.2,0,0,1.4,34,2.9
2011,71,16.9,56.3,23.9,2.8,0,0,0,71,16.9
2011,71,16.9,11.3,36.6,31,1.4,2.8,0,34,14.7
2011,77,16.9,31.2,36.4,14.3,0,0,1.3,34,8.8
2011,113,16.8,38.1,29.2,15,0,0,0.9,59,8.5
2011,60,16.7,40,31.7,11.7,0,0,0,34,11.8
2011,48,16.7,29.2,31.3,16.7,0,4.2,2.1,23,4.3
2011,16.7,35.2,25,14.8,0,0,8.3,41,7.3,36.6
2011,16.5,41.8,26.6,15.2,0,0,0,39,10.3,28.2
2011,16.4,22.4,31.3,25.4,0,0,4.5,40,7.5,22.5
2011,61,16.4,31.1,37.7,14.8,0,0,0,36,13.9
2011,55,16.4,30.9,32.7,18.2,0,0,1.8,35,2.9
2011,16.4,34.5,18.2,30.9,0,0,0,29,13.8,27.6
2011,43,16.3,53.5,30.2,0,0,0,0,0,0
2011,86,16.3,44.2,32.6,5.8,1.2,0,0,51,11.8
2011,16.2,53.9,23.4,6.5,0,0,0,154,16.2,53.9
2011,16.1,3.2,25.8,48.4,0,3.2,3.2,17,5.9,5.9
2011,16.1,24.8,30.2,24.8,0,2,2,83,3.6,26.5
2011,212,16,32.1,28.8,22.6,0,0,0.5,107,7.5
2011,15.9,25.6,32.9,25.6,0,0,0,28,17.9,21.4
2011,15.8,30.5,36.3,16.3,0,0.5,0.5,104,18.3,31.7
2011,19,15.8,31.6,42.1,10.5,0,0,0,10,0
2011,108,15.7,33.3,35.2,13.9,0,0,1.9,60,8.3
2011,15.7,30.7,32,20.9,0,0,0.7,87,12.6,35.6
2011,122,15.6,55.7,23.8,4.9,0,0,0,50,8
2011,15.6,34.7,25.8,22.7,0,0.4,0.9,110,8.2,32.7
2011,15.5,26.1,33.8,21.1,0,0,3.5,63,6.3,25.4
2011,15.4,25.2,31.7,26,0,0.8,0.8,65,4.6,24.6
2011,15.4,33.1,24.3,26.5,0,0,0.7,81,16,30.9
2011,15.4,28,29.7,25.1,0,0,1.7,92,12,21.7
2011,52,15.4,34.6,25,25,0,0,0,52,15.4
2011,104,15.4,23.1,32.7,28.8,0,0,0,104,15.4
2011,46,15.2,63,19.6,0,0,0,2.2,34,14.7
2011,15.2,39.1,37.7,6.5,0,0,1.4,56,8.9,19.6
2011,15.2,29.3,37.5,17.4,0,0,0.5,87,12.6,20.7
2011,132,15.2,43.9,35.6,4.5,0,0,0.8,71,5.6
2011,185,15.1,41.6,29.7,12.4,0,0,1.1,87,9.2
2011,15.1,35.8,15.1,32.1,0,0,1.9,26,15.4,38.5
2011,14.8,47.4,28.9,8.9,0,0,0,135,14.8,47.4
2011,14.8,18.5,40.7,18.5,0,0,7.4,12,8.3,25
2011,27,14.8,40.7,22.2,22.2,0,0,0,16,0
2011,156,14.7,43.6,27.6,14.1,0,0,0,77,13
2011,136,14.7,42.6,35.3,6.6,0,0,0.7,73,11
2011,75,14.7,38.7,40,6.7,0,0,0,32,15.6
2011,14.7,25.3,33.3,24,0,2.7,0,0,0,0
2011,103,14.6,26.2,36.9,19.4,0,0,2.9,59,13.6
2011,158,14.6,40.5,26.6,16.5,0,0.6,1.3,71,2.8
2011,14.5,37.3,38.2,10,0,0,0,110,14.5,37.3
2011,124,14.5,10.5,32.3,40.3,0,0.8,1.6,52,3.8
2011,14.4,31.1,30.7,23.3,0,0.4,0,145,10.3,31
2011,14.3,14.3,28.6,42.9,0,0,0,13,15.4,15.4
2011,56,14.3,23.2,25,32.1,0,3.6,1.8,31,12.9
2011,14.3,38.8,18.4,22.4,0,2,4.1,29,17.2,31
2011,14.3,38.1,38.1,7.1,0,0,2.4,22,13.6,27.3
2011,56,14.3,26.8,26.8,30.4,1.8,0,0,37,10.8
2011,14.3,31.4,34.3,20,0,0,0,20,15,35
2011,14.1,44.7,32.9,8.2,0,0,0,85,14.1,44.7
2011,85,14.1,41.2,38.8,5.9,0,0,0,0,0
2011,490,14.1,31.8,28.4,25.1,0,0.2,0.4,222,8.1
2011,135,14.1,45.9,33.3,6.7,0,0,0,135,14.1
2011,14.1,25,31.3,29.7,0,0,0,31,16.1,32.3
2011,57,14,43.9,33.3,7,0,0,1.8,30,10
2011,57,14,31.6,35.1,19.3,0,0,0,23,4.3
2011,14,39.3,26,18,0.7,2,0,71,8.5,36.6
2011,14,41.3,26.3,17.3,0,0,1.1,94,6.4,31.9
2011,115,13.9,27,35.7,22.6,0,0,0.9,67,4.5
2011,36,13.9,13.9,38.9,33.3,0,0,0,22,13.6
2011,13.9,33.3,38.9,13.9,0,0,0,14,0,28.6
2011,13.9,44.5,30.7,10.2,0,0,0.7,77,6.5,50.6
2011,13.8,35,30.9,19.5,0,0,0.8,9,0,0
2011,29,13.8,41.4,34.5,10.3,0,0,0,29,13.8
2011,167,13.8,46.7,30.5,8.4,0,0,0.6,66,3
2011,13.7,30.6,36.3,17.7,0,0.8,0.8,76,11.8,23.7
2011,73,13.7,16.4,31.5,37,0,1.4,0,33,9.1
2011,168,13.7,51.2,25.6,7.1,0,0,2.4,81,13.6
2011,95,13.7,35.8,28.4,17.9,0,0,4.2,44,0
2011,95,13.7,34.7,29.5,16.8,0,1.1,4.2,62,11.3
2011,13.6,24.4,25.6,33.5,0,1.1,1.7,70,7.1,18.6
2011,13.6,25,35.6,24.2,0.4,0,1.1,76,6.6,22.4
2011,13.6,31.8,40.9,9.1,0,0,4.5,11,0,45.5
2011,44,13.6,40.9,25,18.2,0,0,2.3,44,13.6
2011,154,13.6,26,31.2,27.3,0,0.6,1.3,81,7.4
2011,13.6,9.1,22.7,54.5,0,0,0,8,0,0
2011,13.6,55.1,27.9,3.4,0,0,0,65,6.2,52.3
2011,140,13.6,33.6,30,22.1,0,0,0.7,79,5.1
2011,141,13.5,46.1,29.8,9.9,0,0.7,0,80,10
2011,67,13.4,34.3,41.8,9,0,0,1.5,34,5.9
